//大二下::循环系统::英文
问答题：
"aneurysm","音标：/aneurysm/<br>释义：动脉瘤<br>词组：""aneurysm""（源自希腊语 aneurysma，原义为 dilation，表示“动脉瘤、异常扩张”。）<br>构词：整体对应“动脉瘤”这一循环系统整合课术语。","大二下::循环系统::英文::病理学::aneurysm 教学大纲::熟悉 资料::词汇表 题型::英文词根-词缀 重点::考点"
"angina pectoris, AP","音标：/ænˈʤaɪnə/ /ˈpɛktərɪs/ /eɪ/ /piː/<br>释义：心绞痛<br>词组：""angina""（源自拉丁语 angere，原义为 to choke / strangle，表示“绞痛、憋闷感”。）<br>词组：""pectoris""（源自拉丁语 pectus “胸”，是其属格形式，表示“胸部的”。）<br>缩写：""AP""（angina pectoris 的缩写形式。）<br>构词：整体对应“心绞痛”这一循环系统整合课术语。","大二下::循环系统::英文::病理学::angina-pectoris 教学大纲::熟悉 资料::词汇表 题型::英文词根-词缀 重点::考点"
"aortic valve insufficiency","音标：/eɪˈɔrtɪk/ /vælv/ /insufficiency/<br>释义：主动脉瓣关闭不全<br>词组：""aortic""（由 aort- “主动脉” + -ic “……的” 构成，表示“主动脉的”。）<br>词组：""valve""（源自拉丁语 valva，原义为 folding door / leaf，表示“瓣、阀”。）<br>词组：""insufficiency""（由 in- “不” + sufficient “足够的” + -cy “性质” 构成，表示“功能不足”。）<br>构词：整体对应“主动脉瓣关闭不全”这一循环系统整合课术语。","大二下::循环系统::英文::病理学::aortic-valve-insufficiency 教学大纲::熟悉 资料::词汇表 题型::英文词根-词缀 重点::考点"
"apolipoprotein, Apo","音标：/apolipoprotein/ /eɪ/ /piː/ /oʊ/<br>释义：载脂蛋白<br>词组：""apolipoprotein""（由 apo- “离开、分离” + lipo “脂肪” + protein “蛋白” 构成，表示“载脂蛋白”。）<br>缩写：""Apo""（apolipoprotein 的缩写形式。）<br>构词：整体对应“载脂蛋白”这一循环系统整合课术语。","大二下::循环系统::英文::病理学::apolipoprotein 教学大纲::熟悉 资料::词汇表 题型::英文词根-词缀 重点::考点"
"arterial dissection","音标：/ɑrˈtɪriəl/ /ˈdaɪsɛkʃən/<br>释义：动脉夹层<br>词组：""arterial""（由 arteri- “动脉” + -al “……的” 构成，表示“动脉的”。）<br>词组：""dissection""（由 dis- “分开” + sect “切开” + -ion 构成，表示“分离、夹层式剥离”。）<br>构词：整体对应“动脉夹层”这一循环系统整合课术语。","大二下::循环系统::英文::病理学::arterial-dissection 教学大纲::熟悉 资料::词汇表 题型::英文词根-词缀 重点::考点"
"arterial hyperemia","音标：/ɑrˈtɪriəl/ /hyperemia/<br>释义：动脉性充血<br>词组：""arterial""（由 arteri- “动脉” + -al “……的” 构成，表示“动脉的”。）<br>词组：""hyperemia""（由 hyper- “过度” + -emia “血液状态” 构成，表示“局部血液过多、充血”。）<br>构词：整体对应“动脉性充血”这一循环系统整合课术语。","大二下::循环系统::英文::病理学::arterial-hyperemia 教学大纲::熟悉 资料::词汇表 题型::英文词根-词缀 重点::考点"
"arteriolar nephrosclerosis","音标：/arteriolar/ /nephrosclerosis/<br>释义：细动脉性肾硬化<br>词组：""arteriolar""（由 arteriol- “小动脉” + -ar / -al 构成，表示“细动脉的”。）<br>词组：""nephrosclerosis""（由 nephro- “肾” + sclerosis “硬化” 构成，表示“肾硬化”。）<br>构词：整体对应“细动脉性肾硬化”这一循环系统整合课术语。","大二下::循环系统::英文::病理学::arteriolar-nephrosclerosis 教学大纲::熟悉 资料::词汇表 题型::英文词根-词缀 重点::考点"
"arteriolith","音标：/arteriolith/<br>释义：动脉石<br>词组：""arteriolith""（由 arteriol- “小动脉” + -lith “石” 构成，表示“动脉石”。）<br>构词：整体对应“动脉石”这一循环系统整合课术语。","大二下::循环系统::英文::病理学::arteriolith 教学大纲::熟悉 资料::词汇表 题型::英文词根-词缀 重点::考点"
"arteriolosclerosis","音标：/arteriolosclerosis/<br>释义：细动脉硬化<br>词组：""arteriolosclerosis""（由 arteriolo- “细动脉” + sclerosis “硬化” 构成，表示“细动脉硬化”。）<br>构词：整体对应“细动脉硬化”这一循环系统整合课术语。","大二下::循环系统::英文::病理学::arteriolosclerosis 教学大纲::熟悉 资料::词汇表 题型::英文词根-词缀 重点::考点"
"arteriosclerosis","音标：/ɑrˌtɪrioʊsklərˈoʊsəs/<br>释义：动脉硬化<br>词组：""arteriosclerosis""（由 arterio- “动脉” + sclerosis “硬化” 构成，表示“动脉硬化”。）<br>构词：整体对应“动脉硬化”这一循环系统整合课术语。","大二下::循环系统::英文::病理学::arteriosclerosis 教学大纲::熟悉 资料::词汇表 题型::英文词根-词缀 重点::考点"
"Aschoff body","音标：/ˈæskhɔf/ /ˈbɑdi/<br>释义：风湿小体或阿少夫小体<br>词组：""Aschoff""（本轮先按整词保留；建议后续人工补更细词源。）<br>词组：""body""（体、机体。）<br>构词：整体对应“风湿小体或阿少夫小体”这一循环系统整合课术语。","大二下::循环系统::英文::病理学::aschoff-body 教学大纲::熟悉 资料::词汇表 题型::英文词根-词缀 重点::考点"
"Aschoff cell","音标：/ˈæskhɔf/ /sɛl/<br>释义：风湿细胞也称阿少夫细胞<br>词组：""Aschoff""（本轮先按整词保留；建议后续人工补更细词源。）<br>词组：""cell""（细胞，来自拉丁语 cella “小室”。）<br>构词：整体对应“风湿细胞也称阿少夫细胞”这一循环系统整合课术语。","大二下::循环系统::英文::病理学::aschoff-cell 教学大纲::熟悉 资料::词汇表 题型::英文词根-词缀 重点::考点"
"ascites","音标：/ascites/<br>释义：腹水<br>词组：""ascites""（本轮先按整词保留；建议后续人工补更细词源。）<br>构词：整体对应“腹水”这一循环系统整合课术语。","大二下::循环系统::英文::病理学::ascites 教学大纲::熟悉 资料::词汇表 题型::英文词根-词缀 重点::考点"
"atheroma","音标：/atheroma/<br>释义：粥瘤<br>词组：""atheroma""（-oma：肿块、肿瘤。）<br>构词：整体对应“粥瘤”这一循环系统整合课术语。","大二下::循环系统::英文::病理学::atheroma 教学大纲::熟悉 资料::词汇表 题型::英文词根-词缀 重点::考点"
"atheromatous plaque","音标：/atheromatous/ /plæk/<br>释义：粥样斑块<br>词组：""atheromatous""（-ous：富于……的。）<br>词组：""plaque""（斑块，源自法语 plaque，表示“平板状沉积”。）<br>构词：整体对应“粥样斑块”这一循环系统整合课术语。","大二下::循环系统::英文::病理学::atheromatous-plaque 教学大纲::熟悉 资料::词汇表 题型::英文词根-词缀 重点::考点"
"atherosclerosis, AS","音标：/ˌæθəroʊsklərˈoʊsɪs/ /eɪ/ /ɛs/<br>释义：动脉粥样硬化<br>词组：""atherosclerosis""（由 athero- “粥样、糊状” + sclerosis “硬化” 构成，表示“动脉粥样硬化”。）<br>缩写：""AS""（atherosclerosis 的缩写形式。）<br>构词：整体对应“动脉粥样硬化”这一循环系统整合课术语。","大二下::循环系统::英文::病理学::atherosclerosis 教学大纲::熟悉 资料::词汇表 题型::英文词根-词缀 重点::考点"
"bacterial myocarditis","音标：/bækˈtɪriəl/ /myocarditis/<br>释义：细菌性心肌炎<br>词组：""bacterial""（-al：……的。）<br>词组：""myocarditis""（由 myo- “肌” + cardi “心” + -itis “炎症” 构成，表示“心肌炎”。）<br>构词：整体对应“细菌性心肌炎”这一循环系统整合课术语。","大二下::循环系统::英文::病理学::bacterial-myocarditis 教学大纲::熟悉 资料::词汇表 题型::英文词根-词缀 重点::考点"
"basal zone","音标：/ˈbeɪsəl/ /zoʊn/<br>释义：基底部<br>词组：""basal""（-al：……的。）<br>词组：""zone""（本轮先按整词保留；建议后续人工补更细词源。）<br>构词：整体对应“基底部”这一循环系统整合课术语。","大二下::循环系统::英文::病理学::basal-zone 教学大纲::熟悉 资料::词汇表 题型::英文词根-词缀 重点::考点"
"benign hypertension","音标：/bɪˈnaɪn/ /ˌhaɪpərˈtɛnʃən/<br>释义：良性高血压病<br>词组：""benign""（良性的，源自拉丁语 benignus。）<br>词组：""hypertension""（由 hyper- “过度” + tens “张力、伸展” + -ion “状态” 构成，表示“压力过高的状态”。）<br>构词：整体对应“良性高血压病”这一循环系统整合课术语。","大二下::循环系统::英文::病理学::benign-hypertension 教学大纲::熟悉 资料::词汇表 题型::英文词根-词缀 重点::考点"
"brown induration of lung","音标：/braʊn/ /induration/ /əv/ /ləŋ/<br>释义：肺褐色硬化<br>词组：""brown""（本轮先按整词保留；建议后续人工补更细词源。）<br>词组：""induration""（-tion：状态、过程。）<br>词组：""lung""（本轮先按整词保留；建议后续人工补更细词源。）<br>构词：整体对应“肺褐色硬化”这一循环系统整合课术语。","大二下::循环系统::英文::病理学::brown-induration-of-lung 教学大纲::熟悉 资料::词汇表 题型::英文词根-词缀 重点::考点"
"caisson disease","音标：/ˈkɛsən/ /dɪˈziz/<br>释义：沉箱病<br>词组：""caisson""（本轮先按整词保留；建议后续人工补更细词源。）<br>词组：""disease""（疾病，源自 dis- “失去正常” + ease “舒适”。）<br>构词：整体对应“沉箱病”这一循环系统整合课术语。","大二下::循环系统::英文::病理学::caisson-disease 教学大纲::熟悉 资料::词汇表 题型::英文词根-词缀 重点::考点"
"caseous pericarditis","音标：/caseous/ /pericarditis/<br>释义：干酪性心包炎<br>词组：""caseous""（-ous：富于……的。）<br>词组：""pericarditis""（由 peri- “周围” + cardi “心” + -itis “炎症” 构成，表示“心包炎”。）<br>构词：整体对应“干酪性心包炎”这一循环系统整合课术语。","大二下::循环系统::英文::病理学::caseous-pericarditis 教学大纲::熟悉 资料::词汇表 题型::英文词根-词缀 重点::考点"
"cerebral hemorrhage","音标：/ˈsɛrəbrəl/ /ˈhɛmərɪʤ/<br>释义：脑出血<br>词组：""cerebral""（由 cerebr- “脑” + -al 构成，表示“大脑的”。）<br>词组：""hemorrhage""（hemo-：血。）<br>构词：整体对应“脑出血”这一循环系统整合课术语。","大二下::循环系统::英文::病理学::cerebral-hemorrhage 教学大纲::熟悉 资料::词汇表 题型::英文词根-词缀 重点::考点"
"cerebral lacunar infarct","音标：/ˈsɛrəbrəl/ /lacunar/ /infarct/<br>释义：脑腔隙性梗死<br>词组：""cerebral""（由 cerebr- “脑” + -al 构成，表示“大脑的”。）<br>词组：""lacunar""（-ar：……的。）<br>词组：""infarct""（源自拉丁语 infarcire “塞入、填满”，表示“梗死灶”。）<br>构词：整体对应“脑腔隙性梗死”这一循环系统整合课术语。","大二下::循环系统::英文::病理学::cerebral-lacunar-infarct 教学大纲::熟悉 资料::词汇表 题型::英文词根-词缀 重点::考点"
"chronic hypertension","音标：/ˈkrɑnɪk/ /ˌhaɪpərˈtɛnʃən/<br>释义：缓进型高血压病<br>词组：""chronic""（-ic：……的。）<br>词组：""hypertension""（由 hyper- “过度” + tens “张力、伸展” + -ion “状态” 构成，表示“压力过高的状态”。）<br>构词：整体对应“缓进型高血压病”这一循环系统整合课术语。","大二下::循环系统::英文::病理学::chronic-hypertension 教学大纲::熟悉 资料::词汇表 题型::英文词根-词缀 重点::考点"
"chronic ischemic heart disease","音标：/ˈkrɑnɪk/ /ischemic/ /hɑrt/ /dɪˈziz/<br>释义：慢性缺血性心脏病<br>词组：""chronic""（-ic：……的。）<br>词组：""ischemic""（由 isch- “抑制、阻断” + hem “血” + -ic 构成，表示“缺血性的”。）<br>词组：""heart""（心脏。）<br>词组：""disease""（疾病，源自 dis- “失去正常” + ease “舒适”。）<br>构词：整体对应“慢性缺血性心脏病”这一循环系统整合课术语。","大二下::循环系统::英文::病理学::chronic-ischemic-heart-disease 教学大纲::熟悉 资料::词汇表 题型::英文词根-词缀 重点::考点"
"chronic pericarditis","音标：/ˈkrɑnɪk/ /pericarditis/<br>释义：慢性心包炎<br>词组：""chronic""（-ic：……的。）<br>词组：""pericarditis""（由 peri- “周围” + cardi “心” + -itis “炎症” 构成，表示“心包炎”。）<br>构词：整体对应“慢性心包炎”这一循环系统整合课术语。","大二下::循环系统::英文::病理学::chronic-pericarditis 教学大纲::熟悉 资料::词汇表 题型::英文词根-词缀 重点::考点"
"chylomicra, CM","音标：/chylomicra/ /siː/ /ɛm/<br>释义：乳糜微粒<br>词组：""chylomicra""（本轮先按整词保留；建议后续人工补更细词源。）<br>缩写：""CM""（chylomicra 的缩写形式。）<br>构词：整体对应“乳糜微粒”这一循环系统整合课术语。","大二下::循环系统::英文::病理学::chylomicra 教学大纲::熟悉 资料::词汇表 题型::英文词根-词缀 重点::考点"
"circumferential infarction","音标：/circumferential/ /ˌɪnˈfɑrkʃən/<br>释义：环状梗死<br>词组：""circumferential""（-al：……的。）<br>词组：""infarction""（由 infarct “梗死、填塞” + -ion “过程、结果” 构成，表示“梗死”。）<br>构词：整体对应“环状梗死”这一循环系统整合课术语。","大二下::循环系统::英文::病理学::circumferential-infarction 教学大纲::熟悉 资料::词汇表 题型::英文词根-词缀 重点::考点"
"claudication","音标：/claudication/<br>释义：间歇性跛行<br>词组：""claudication""（-tion：状态、过程。）<br>构词：整体对应“间歇性跛行”这一循环系统整合课术语。","大二下::循环系统::英文::病理学::claudication 教学大纲::熟悉 资料::词汇表 题型::英文词根-词缀 重点::考点"
"collateral circulation","音标：/kəˈlætərəl/ /ˈsərkjəˌleɪʃən/<br>释义：侧支循环<br>词组：""collateral""（-al：……的。）<br>词组：""circulation""（-tion：状态、过程。）<br>构词：整体对应“侧支循环”这一循环系统整合课术语。","大二下::循环系统::英文::病理学::collateral-circulation 教学大纲::熟悉 资料::词汇表 题型::英文词根-词缀 重点::考点"
"combinative valvular disease","音标：/combinative/ /valvular/ /dɪˈziz/<br>释义：联合瓣膜病<br>词组：""combinative""（-ive：具有……性质的。）<br>词组：""valvular""（-ar：……的。）<br>词组：""disease""（疾病，源自 dis- “失去正常” + ease “舒适”。）<br>构词：整体对应“联合瓣膜病”这一循环系统整合课术语。","大二下::循环系统::英文::病理学::combinative-valvular-disease 教学大纲::熟悉 资料::词汇表 题型::英文词根-词缀 重点::考点"
"congenital heart disease","音标：/kənˈʤɛnətəl/ /hɑrt/ /dɪˈziz/<br>释义：先天性心脏病<br>词组：""congenital""（-al：……的。）<br>词组：""heart""（心脏。）<br>词组：""disease""（疾病，源自 dis- “失去正常” + ease “舒适”。）<br>构词：整体对应“先天性心脏病”这一循环系统整合课术语。","大二下::循环系统::英文::病理学::congenital-heart-disease 教学大纲::熟悉 资料::词汇表 题型::英文词根-词缀 重点::考点"
"congestion","音标：/kənˈʤɛsʧən/<br>释义：淤血<br>词组：""congestion""（-tion：状态、过程。）<br>构词：整体对应“淤血”这一循环系统整合课术语。","大二下::循环系统::英文::病理学::congestion 教学大纲::熟悉 资料::词汇表 题型::英文词根-词缀 重点::考点"
"congestion of liver","音标：/kənˈʤɛsʧən/ /əv/ /ˈlɪvər/<br>释义：肝淤血<br>词组：""congestion""（-tion：状态、过程。）<br>词组：""liver""（肝。）<br>构词：整体对应“肝淤血”这一循环系统整合课术语。","大二下::循环系统::英文::病理学::congestion-of-liver 教学大纲::熟悉 资料::词汇表 题型::英文词根-词缀 重点::考点"
"congestive cardiomyopathy","音标：/kənˈʤɛstɪv/ /cardiomyopathy/<br>释义：充血性心肌病<br>词组：""congestive""（由 con- “共同、聚集” + gest “携带、堆积” + -ive 构成，表示“淤积性的、充血性的”。）<br>词组：""cardiomyopathy""（由 cardio- “心” + myo- “肌” + -pathy “疾病” 构成，表示“心肌病”。）<br>构词：整体对应“充血性心肌病”这一循环系统整合课术语。","大二下::循环系统::英文::病理学::congestive-cardiomyopathy 教学大纲::熟悉 资料::词汇表 题型::英文词根-词缀 重点::考点"
"congestive cirrhosis","音标：/kənˈʤɛstɪv/ /sərˈoʊsəs/<br>释义：淤血性硬化<br>词组：""congestive""（由 con- “共同、聚集” + gest “携带、堆积” + -ive 构成，表示“淤积性的、充血性的”。）<br>词组：""cirrhosis""（源自希腊语 kirrhos “黄褐色”，后用于表示“硬化、肝硬化”。）<br>构词：整体对应“淤血性硬化”这一循环系统整合课术语。","大二下::循环系统::英文::病理学::congestive-cirrhosis 教学大纲::熟悉 资料::词汇表 题型::英文词根-词缀 重点::考点"
"congestive liver cirrhosis","音标：/kənˈʤɛstɪv/ /ˈlɪvər/ /sərˈoʊsəs/<br>释义：淤血性肝硬化<br>词组：""congestive""（由 con- “共同、聚集” + gest “携带、堆积” + -ive 构成，表示“淤积性的、充血性的”。）<br>词组：""liver""（肝。）<br>词组：""cirrhosis""（源自希腊语 kirrhos “黄褐色”，后用于表示“硬化、肝硬化”。）<br>构词：整体对应“淤血性肝硬化”这一循环系统整合课术语。","大二下::循环系统::英文::病理学::congestive-liver-cirrhosis 教学大纲::熟悉 资料::词汇表 题型::英文词根-词缀 重点::考点"
"coronary artery heart disease, CHD","音标：/ˈkɔrəˌnɛri/ /ˈɑrtəri/ /hɑrt/ /dɪˈziz/ /siː/ /eɪtʃ/ /diː/<br>释义：冠心病<br>词组：""coronary""（由 coron- “冠、环” + -ary 构成，表示“冠状的”。）<br>词组：""artery""（动脉，源自希腊语 artēria。）<br>词组：""heart""（心脏。）<br>词组：""disease""（疾病，源自 dis- “失去正常” + ease “舒适”。）<br>缩写：""CHD""（coronary artery heart disease 的缩写形式。）<br>构词：整体对应“冠心病”这一循环系统整合课术语。","大二下::循环系统::英文::病理学::coronary-artery-heart-disease 教学大纲::熟悉 资料::词汇表 题型::英文词根-词缀 重点::考点"
"creatine phosphokinase, CPK","音标：/creatine/ /phosphokinase/ /siː/ /piː/ /keɪ/<br>释义：肌酸磷酸激酶<br>词组：""creatine""（肌酸，来自希腊语 kreas “肉”。）<br>词组：""phosphokinase""（-ase：酶。）<br>缩写：""CPK""（creatine phosphokinase 的缩写形式。）<br>构词：整体对应“肌酸磷酸激酶”这一循环系统整合课术语。","大二下::循环系统::英文::病理学::creatine-phosphokinase 教学大纲::熟悉 资料::词汇表 题型::英文词根-词缀 重点::考点"
"crossed embolism","音标：/krɔst/ /ˈɛmboʊˌlɪzəm/<br>释义：交叉性栓塞<br>词组：""crossed""（本轮先按整词保留；建议后续人工补更细词源。）<br>词组：""embolism""（由 embol- “栓、塞入物” + -ism “状态、过程” 构成，表示“栓塞”。）<br>构词：整体对应“交叉性栓塞”这一循环系统整合课术语。","大二下::循环系统::英文::病理学::crossed-embolism 教学大纲::熟悉 资料::词汇表 题型::英文词根-词缀 重点::考点"
"cyanosis","音标：/cyanosis/<br>释义：发绀<br>词组：""cyanosis""（-osis：病理状态、异常过程。）<br>构词：整体对应“发绀”这一循环系统整合课术语。","大二下::循环系统::英文::病理学::cyanosis 教学大纲::熟悉 资料::词汇表 题型::英文词根-词缀 重点::考点"
"decompression sickness","音标：/ˌdikəmˈprɛʃən/ /ˈsɪknəs/<br>释义：减压病<br>词组：""decompression""（-ion：状态、过程。）<br>词组：""sickness""（本轮先按整词保留；建议后续人工补更细词源。）<br>构词：整体对应“减压病”这一循环系统整合课术语。","大二下::循环系统::英文::病理学::decompression-sickness 教学大纲::熟悉 资料::词汇表 题型::英文词根-词缀 重点::考点"
"dilated cardiomyopathy","音标：/ˌdaɪˈleɪtɪd/ /cardiomyopathy/<br>释义：扩张性心肌病<br>词组：""dilated""（扩张的，来自 dilate。）<br>词组：""cardiomyopathy""（由 cardio- “心” + myo- “肌” + -pathy “疾病” 构成，表示“心肌病”。）<br>构词：整体对应“扩张性心肌病”这一循环系统整合课术语。","大二下::循环系统::英文::病理学::dilated-cardiomyopathy 教学大纲::熟悉 资料::词汇表 题型::英文词根-词缀 重点::考点"
"dissecting aneurysm","音标：/daɪˈsɛktɪŋ/ /aneurysm/<br>释义：夹层动脉瘤<br>词组：""dissecting""（由 dis- “分开” + sect “切开” 演变而来，表示“正在裂开/夹层形成的”。）<br>词组：""aneurysm""（源自希腊语 aneurysma，原义为 dilation，表示“动脉瘤、异常扩张”。）<br>构词：整体对应“夹层动脉瘤”这一循环系统整合课术语。","大二下::循环系统::英文::病理学::dissecting-aneurysm 教学大纲::熟悉 资料::词汇表 题型::英文词根-词缀 重点::考点"
"disseminated intravascular coagulation, DIC","音标：/dɪˈsɛməˌneɪtəd/ /intravascular/ /koʊˈægjəˈleɪʃən/ /diː/ /aɪ/ /siː/<br>释义：弥散性血管内凝血<br>词组：""disseminated""（播散的、弥散的，来自 disseminate。）<br>词组：""intravascular""（-ar：……的。）<br>词组：""coagulation""（-tion：状态、过程。）<br>缩写：""DIC""（disseminated intravascular coagulation 的缩写形式。）<br>构词：整体对应“弥散性血管内凝血”这一循环系统整合课术语。","大二下::循环系统::英文::病理学::disseminated-intravascular-coagulation 教学大纲::熟悉 资料::词汇表 题型::英文词根-词缀 重点::考点"
"Diver’s disease","音标：/ˈdaɪvər/ /ɛs/ /dɪˈziz/<br>释义：潜水员病<br>词组：""Diver""（本轮先按整词保留；建议后续人工补更细词源。）<br>词组：""s""（本轮先按整词保留；建议后续人工补更细词源。）<br>词组：""disease""（疾病，源自 dis- “失去正常” + ease “舒适”。）<br>构词：整体对应“潜水员病”这一循环系统整合课术语。","大二下::循环系统::英文::病理学::diver-s-disease 教学大纲::熟悉 资料::词汇表 题型::英文词根-词缀 重点::考点"
"ecchymoses","音标：/ecchymoses/<br>释义：瘀斑<br>词组：""ecchymoses""（本轮先按整词保留；建议后续人工补更细词源。）<br>构词：整体对应“瘀斑”这一循环系统整合课术语。","大二下::循环系统::英文::病理学::ecchymoses 教学大纲::熟悉 资料::词汇表 题型::英文词根-词缀 重点::考点"
"edema","音标：/ɪˈdimə/<br>释义：水肿<br>词组：""edema""（源自希腊语 oidēma，原义为 swelling，表示“水肿”。）<br>构词：整体对应“水肿”这一循环系统整合课术语。","大二下::循环系统::英文::病理学::edema 教学大纲::熟悉 资料::词汇表 题型::英文词根-词缀 重点::考点"
"embolism","音标：/ˈɛmboʊˌlɪzəm/<br>释义：栓塞<br>词组：""embolism""（由 embol- “栓、塞入物” + -ism “状态、过程” 构成，表示“栓塞”。）<br>构词：整体对应“栓塞”这一循环系统整合课术语。","大二下::循环系统::英文::病理学::embolism 教学大纲::熟悉 资料::词汇表 题型::英文词根-词缀 重点::考点"
"embolus","音标：/embolus/<br>释义：栓子<br>词组：""embolus""（源自希腊语 embolos，原义为 plug / wedge，表示“栓子”。）<br>构词：整体对应“栓子”这一循环系统整合课术语。","大二下::循环系统::英文::病理学::embolus 教学大纲::熟悉 资料::词汇表 题型::英文词根-词缀 重点::考点"
"encephalomalacia","音标：/encephalomalacia/<br>释义：脑软化<br>词组：""encephalomalacia""（-ia：状态。）<br>构词：整体对应“脑软化”这一循环系统整合课术语。","大二下::循环系统::英文::病理学::encephalomalacia 教学大纲::熟悉 资料::词汇表 题型::英文词根-词缀 重点::考点"
